"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","<описание сценария>","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","спр.Реестры > создать элемент","",""
"","0","Обр.Групповое начисление","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","Обр.Групповое начисление","",""
"","0","Создание заявки, отправка на печать","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Документы > Заявка сбктс > отправить на печать","",""
"","0","Док. расходная накладная, тест на сложение сумм","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","док. Расходная накладная тест на сложение сумм","",""
"","0","док.Табели, форма элемента","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","док.Табели, форма списка, форма элемента","",""
"","0","Док.Заказ покупателя, выбрать организацию","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Док.Заказ покупателя","",""
"","0","спр.Маршруты","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","спр.Маршруты создание элемента","",""
"","0","<описание сценария>","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","Спр.Реестры> форма списка > печать","",""
"","0","Открываю","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","открыть отчёт расчёты с персоналом, сформировать с разными настройками","",""
"","0","открыть и создать элемент спра информации по авто","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","спр.Виды информации по авто","",""
"","0","<описание сценария>","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Тест всех кнопок вкладки Глонас/СБКТС Справочника ИПА","",""
"","0","<описание сценария>","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","Спр.Органы выдачи паспорта Создание","",""
"","0","<описание сценария>","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","Спр.ОУ тест поиска","",""
"","0","Тест формирования отчёта ""Выпуски инпекторов""","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","Тест ""Выпуски инпекторов"", открытие формы, кнопка сформировать, кнопка отправить","",""
"","0","Док.Поступление в кассу ввод ТЧ","","Wed Nov 13 03:27:25 GMT 2024","skipped","Wed Nov 13 03:27:25 GMT 2024","","Док.Поступление в кассу","",""
"","0","Док.Отчёт Агента, тест сумм","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Док.Отчёт Агента, тест сумм","",""
"","0","Тест на изменение физлица","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Тест создания элемента справочника на авто с физлицом","",""
"","0","док.Счёт на оплату, форма элемента","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","док.Счёт на оплату, форма элемента","",""
"","0","нажимаем ""Создать на основании расход со счёта""","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","док.Приходная накладная форма списка","",""
"","0","<описание сценария>","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Справочник ИПА","",""
"","0","<описание сценария>","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Тест повторного выбора из справочника ИПА","",""
"","0","Док.Заказ покупателя, нажать  тч. установить цены по виду","","Wed Nov 13 03:27:24 GMT 2024","skipped","Wed Nov 13 03:27:24 GMT 2024","","Док.Заказ покупателя","",""
