"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","спр.Реестры > создать элемент","0","","0","1","<описание сценария>","0"
"0","Обр.Групповое начисление","0","","0","1","Обр.Групповое начисление","0"
"0","Документы > Заявка сбктс > отправить на печать","0","","0","1","Создание заявки, отправка на печать","0"
"0","док. Расходная накладная тест на сложение сумм","0","","0","1","Док. расходная накладная, тест на сложение сумм","0"
"0","док.Табели, форма списка, форма элемента","0","","0","1","док.Табели, форма элемента","0"
"0","Док.Заказ покупателя","0","","0","1","Док.Заказ покупателя, выбрать организацию","0"
"0","спр.Маршруты создание элемента","0","","0","1","спр.Маршруты","0"
"0","Спр.Реестры> форма списка > печать","0","","0","1","<описание сценария>","0"
"0","открыть отчёт расчёты с персоналом, сформировать с разными настройками","0","","0","1","Открываю","0"
"0","спр.Виды информации по авто","0","","0","1","открыть и создать элемент спра информации по авто","0"
"0","Тест всех кнопок вкладки Глонас/СБКТС Справочника ИПА","0","","0","1","<описание сценария>","0"
"0","Спр.Органы выдачи паспорта Создание","0","","0","1","<описание сценария>","0"
"0","Спр.ОУ тест поиска","0","","0","1","<описание сценария>","0"
"0","Тест ""Выпуски инпекторов"", открытие формы, кнопка сформировать, кнопка отправить","0","","0","1","Тест формирования отчёта ""Выпуски инпекторов""","0"
"0","Док.Поступление в кассу","0","","0","1","Док.Поступление в кассу ввод ТЧ","0"
"0","Док.Отчёт Агента, тест сумм","0","","0","1","Док.Отчёт Агента, тест сумм","0"
"0","Тест создания элемента справочника на авто с физлицом","0","","0","1","Тест на изменение физлица","0"
"0","док.Счёт на оплату, форма элемента","0","","0","1","док.Счёт на оплату, форма элемента","0"
"0","док.Приходная накладная форма списка","0","","0","1","нажимаем ""Создать на основании расход со счёта""","0"
"0","Справочник ИПА","0","","0","1","<описание сценария>","0"
"0","Тест повторного выбора из справочника ИПА","0","","0","1","<описание сценария>","0"
"0","Док.Заказ покупателя","0","","0","1","Док.Заказ покупателя, нажать  тч. установить цены по виду","0"
"0","Нажатие кнопки создатьн ачисление в справочнике информайция по авто","0","","0","1","Нажатие кнопки","0"
"0","Спр.Изготовители объектов учёта","0","","0","1","<описание сценария>","0"
"0","Спр. Контрагенты> форма списка> Купить > заказ поставщику","0","","0","1","Открытие спарвочника, нажатие кнопки.","0"
"0","Тест ""оформленные ТПО Альянс брокер"", открытие формы, кнопка сформировать","0","","0","1","Тест формирования отчёта ""оформленные ТПО Альянс брокер""","0"
"0","Открыть Отчёт Рачёты с подчиненными и сформировать","0","","0","1","Отчёт, расчёты с подчиненными, сформировать.","0"
"0","Тест отчёт ТП, открытие формы, кнопка сформировать","0","","0","1","Тест формирования отчёта ""Отчёт ТП""","0"
"0","Спр.Валюты","0","","0","1","спр.валюты > загрузить курсы","0"
"0","док.Расход из кассы(Зарплата сотруднику)","0","","0","1","док.Расход из кассы","0"
"0","Док.Заказы покупателей > Форма  списка > кнопка создать по шаблону","0","","0","1","док.Заказы покупателей > Форма  списка > кнопка создать по шаблону","0"
"0","Док.Отчёт Агента> тч. услуги> добавить строку","0","","0","1","Добавить строку в тч Услуги документа отчёт агента","0"
"0","Спр.Виды цен, создать","0","","0","1","Спр.Виды цен создать новый элемент","0"
"0","Тест всех кнопок вкладки Фаилы Справочника ИПА","0","","0","1","Нажимаю все кнопки вкладки фалиы","0"
"0","Спр.Организации","0","","0","1","Спр.Организации","0"
"0","Док.Поступление на счёт форма списка","0","","0","1","Док.Поступление на счёт форма списка кнопка создать по шаблону","0"
"0","Док.Поступление на счет, отбор","0","","0","1","док.Поступление на счёт, отбор","0"
"0","док. Выпуск ГДТ > форма элемента создание.","1","","0","0","<описание сценария>","0"
"0","Док.Расходная накладная Кнопка изменить","0","","0","1","<описание сценария>","0"
"0","Тест Конпки отправить","0","","0","1","<описание сценария>","0"
